P91-BP48,"Extended Runtime Battery Pack for use with P91(g)-2000 UPS;  (includes 2 strings of 12V9AH batteries); __ Battery Packs provide(s) __ minutes runtime @ __KVA load.  Tower or Rack Mounting; UL, cUL,  RoHS Approved;   3-Year Full Warranty (USA and Canada); 17.2""W x 18.9""D x 3.5""H; 74.6 lbs","$1,080.00 ",,
P91-BP72,"Extended Runtime Battery Pack for use with P91-3000 and P91g-3000 UPSs;  (includes 2 strings of 12V9AH batteries) ;__ Battery Packs provide(s) __ minutes runtime @ __KVA load.   Tower or Rack Mounting; UL, cUL, RoHS Approved;  3-Year Full Warranty (USA and Canada); 17.2""W x 23.6""D x 3.5""H; 104.4 lbs","$1,290.00 ",,
XPC-C14-615R,"P91g Output Cord, 1ft, IEC C14 to 6-15R. 3 lbs. ",$45.00 ,,
XPC-C14-620R,"P91g Output Cord, 1ft, IEC C14 to 6-20R. 3 lbs. ",$49.00 ,,
XPC-C14-L620R,"P91g Output Cord, 1ft, IEC C14 to L6-20R. 3 lbs. ",$69.00 ,,
XPC-C14-L630R,"P91g Output Cord, 1ft, IEC C14 to L6-30R. 3 lbs. ",$69.00 ,,
XPC-ZLC20-620R,"Optional  12""   output cord,  Locking C20 to 6-15/20 receptacle; 3 lbs.",$79.00 ,,
XPC-ZLC20-L620R,"Optional  12""   output cord,  Locking C20 to L6-20 receptacle; 3 lbs.",$79.00 ,,
XPC-ZLC20-L630R,"Optional  12""   output cord,  Locking C20 to L6-30 receptacle; 3 lbs.",$79.00 ,,
P90-RAIL,"4-Post Rail Kit for use with P91(g)-1000, 1500, 2000, 3000;   3.8""W x 19.8""D x 2.8""H. 5 lbs.",$135.00 ,,
XPC-2PRAIL,"2-Post Rail Kit for P80, P91(g) and NXRT 800VA thru 5kVA  UPS or EBM;  rated for 125 lbs;  4""W x 20""D x 3""H. 5 lbs.",$102.00 ,,
XPC-2POSTL,"2-Post Shelf Kit for P91(g)-1000, 1500, 2000, 3000;  rated for 150lbs;   21.5""W x 23.3""D x 3.5""H. 9 lbs.",$160.00 ,,
PV-WMB,"Wall mount bracket for use with P80, P91(g) and P91L series UPSs and battery packs up to 5KVA;   4""W x 24""D x 4""H. 5 lbs.",$80.00 ,,
P90-FRMB,Front Rackmount Bracket for P80 800VA through 2KVA size or P91 1KVA thru 2KVA size.  Required when front mounting the UPS to a 2 post or 4 post rack with no rail kit.,$36.00 ,,
SNMP-2PV3,"Internal SNMP/WEB Card for use with P80 or  P91(g) Series UPS; Allows for monitoring and management of UPS through a web browser or SNMP platform: Provides shutdown of remote clients via LAN, and Email Notification of UPS status and events. Compatible with SNMP-EMPV2 Environmental Monitor;  Packaging  = 5.7""W x 5.2""D x 1.7""H, 0.3 lbs",$359.00 ,,
SNMP-EMPV2,"Environmental Monitoring Sensor to monitor room temperature and humidity -  used with SNMP-2PV3 SNMP/WEB Card. Packaging = 5.7""W x 5.2""D x 1.7""H, 0.3 lbs",$230.00 ,,
MODBUS-IN,"MODBUS CARD for use with the P91(g) Series UPS; packaging = 7.25"" x 6"" x 2.5"", 1 lbs",$319.00 ,,
RELAY-MINI,"Dry Contact RELAY CARD with DB9 & terminal block adapter; packaging = 5.7""W x 5.2""D x 1.7""H, 0.3 lbs",$120.00 ,,
XBDM-1015LV,"Xtreme Power XBDM Series 15 Amp Maintenance Bypass Distribution Module with 12' Input line cord with 5-15P plug; (6) 5-15R output receptacles on front of BDM + (4) 5-15R output receptacles on rear of BDM; Includes maint bypass switch allowing for  bypassing and maintenance of the UPS without affecting the connected loads;3-Year Warranty (USA and Canada); 19""W x 3.5""D x 1.75""H, 3.5 lbs",$379.00 ,,
XBDM-1020LV,"Xtreme Power XBDM Series 20 Amp Maintenance Bypass Distribution Module with 12' Input line cord with 5-20P plug; (6) 5-20R output receptacles on front of BDM + (4) 5-20R output receptacles on rear of BDM; Includes maint bypass switch allowing for  bypassing and maintenance of the UPS without affecting the connected loads; 3-Year Warranty (USA and Canada); 19""W x 3.5""D x 1.75""H, 3.5 lbs",$419.00 ,,
XBDM-1030LV,"Xtreme Power XBDM Series 30 Amp Maintenance Bypass Distribution Module with 6' Input line cord with L5-30P plug; (5) 5-20R output receptacles on front of BDM (Load Group 1) + (5) 5-20R output receptacles on rear of BDM (Load Group 2);  (2) bypass switches allowing for  bypassing and maintenance of the UPS without affecting the connected loads; 3-Year Warranty (USA and Canada); 19""W x 3.5""D x 1.75""H, 3.5 lbs",$659.00 ,,
XPD1415HV,"Xtreme Power XPDU Series Basic Power PDU with 12' Input line cord with 5-15P plug; (6) 5-15R output receptacles on front of PDU + (8) 5-15R output receptacles on rear of PDU; UL60950-1/cUL/FCC Approved; 3-Year Warranty (USA and Canada); 19""W x 3.5""D x 1.75""H, 3.5 lbs",$138.00 ,,
XPD1420HV,"Xtreme Power XPDU Series Basic Power PDU with 12' Input line cord with L5-20P plug (L5-20 to 5-20 adapter included); (6) 5-20R output receptacles on front of PDU + (8) 5-20R output receptacles on rear of PDU; UL60950-1/cUL/FCC Approved; 3-Year Warranty (USA and Canada); 19""W x 3.5""D x 1.75""H, 4.8 lbs",$190.00 ,,
XBDM1020HV2,"Xtreme Power XBDM Series Maintenance Bypass Distribution Module with C20 input receptacle;  rated at 16A; (2) IEC C19 and (4) IEC C13 output receptacles on front + (4) IEC C13 output receptacles on back;  Includes maint bypass switch allowing for  bypassing and maintenance of the UPS without affecting the connected loads; Includes (2) IEC C20C19 cord kit; 3-Year Warranty (USA only); 19""W x 3.5""D x 1.75""H, 3.5 lbs",$419.00 ,,
XPDU-IEC,"Xtreme Power XPDU Series Basic Power 230V PDU with C20 inlet (power cord ordered separately), (10) IEC C13 + (2) IEC C19 output receptacles; 1U Rackmount configuration; CE Listed; 3-Year Warranty; 19""W x 3.5""D x 1.75""H, 2.6 lbs",$190.00 ,,
XAT-400,"400VA Step Down Transformer, 208V to 120V for P90G and P90LG-3000. Input is 208V IEC C14 on 2ft cord; output is 120V 5-15R on 2ft cord. 7""W x 6.8""D x 5.9""H. 8 lbs.",$600.00 ,,
XPD-IT15A,"Xtreme Power XPDU Series PDU with Isolation Transformer.  1500W, 208V in, 120V out.  IEC-C14 inlet protected by 10A breaker; (16) 5-15R output receptacles protected by 15A breaker;   3-Year Warranty; 17.5""W x 15""D x 3.5""H (2U), 43 lbs.",$980.00 ,,
P915SP15,"Xtended 5YR Factory Warranty forP91c-1000,  P91-1000, P91-1500 UPS (USA and Canada) - 5 Year Coverage includes coverage of electronics and internal batteries, telephone technical support, advanced exchange and ground shipping both ways.",$375.00 ,,
P915SP23,"Xtended 5YR Factory Warranty for  P91-2000/3000VA and P91g-3000 UPS  (USA and Canada)  - 5 Year Coverage includes coverage of electronics and internal batteries, telephone technical support, advanced exchange and ground shipping both ways.",$610.00 ,,
P91L5SPBP,"Xtended 5YR Factory Warranty for P91-BP36/BP36E/BP42/BP72  (USA and Canada)  - 5 Year Coverage includes coverage of battery pack, telephone technical support, advanced exchange and ground shipping both ways..",$320.00 ,,
,,,,
MODEL,DESCRIPTION,LIST PRICE,,
P91-1.5KLi,"Xtreme Power P91 Series 1500VA/1350W; Online UPS with Lithium-ion batteries; 2U; 120VAC; 6' input line cord with 5-15P; (8) 5-15R output receptacles, (4) of the output receptacles programmable as  group;  1-8A adjustable charger; Full Load Runtime = 8 min;  Tower and rack mounting; up to 98% efficiency in ECO mode; Smart LCD screen; Intelligent slot; RS-232 and USB port; REPO connection; UL, cUL, RoHS approved; FCC Class A UPS Approvals; UL1973 battery pack compliance; UN38.3 for battery transportation; 6 year full Warranty (USA and Canada), 1 year full Warranty (worldwide);  50K load protection policy; 17.2"" x 15.1"" x 3.5""; 25.6 lbs","$2,520.00 ",,
P91-2KLi,"Xtreme Power P91 Series 2000VA/1800W; Online UPS with Lithium-ion batteries; 2U; 120VAC;  6' input line cord with 5-20 plug; (8) 5-15/20R output receptacles,  (4) of the output receptacles programmable as  group; 1-8A adjustable charger; Full Load Runtime = 14 min; Tower and rack mounting; 98% efficiency in ECO mode; Smart LCD screen; Intelligent slot,  RS-232 and USB port connections; REPO connection; UL, cUL, RoHS approved; FCC Class A UPS Approvals; UL1973 battery pack compliance; UN38.3 for battery transportation  6 year full Warranty (USA and Canada), 1 year full Warranty (worldwide);  50K load protection policy; 17.2"" x 19.0"" x 3.5""; 33.5 lbs","$3,730.00 ",,
P91-3kLi,"Xtreme Power P91 Series 3000VA/2700W; Online UPS with Lithium-ion batteries; 2U; 120VAC;  6' input line cord with L5-30 plug; (1) L5-30R + (6) 5-15/20R output receptacles, (3) of the 5-15/20R output receptacles programmable as  group;  1-8A adjustable  charger; Full Load Runtime = 11 min; Tower and rack mounting; 98% efficiency in ECO mode; Smart LCD screen; Intelligent slot, RS-232 and USB port connections, REPO connection; UL, cUL, RoHS approved; FCC Class A UPS Approvals; UL1973 battery pack compliance; UN38.3 for battery transportation ;  6 year full Warranty (USA and Canada); 50K load protection policy; 17.2"" x 23.8"" x 3.5""; 45.2 lbs.","$4,570.00 ",,
,,,,
MODEL,DESCRIPTION,LIST PRICE,,
P91g-1.5KLi,"Xtreme Power P91 Series 1500VA/1350W; Online UPS with Lithium-ion batteries; 2U; 208/230VAC; C14 Inlet with  8' C13 to L6-20P  line cord ; (8) IEC C13  output receptacles, (4) of the output receptacles programmable as  group;  1-8A adjustable charger; Full Load Runtime = 8 min;  Tower and rack mounting; up to 98% efficiency in ECO mode; Smart LCD screen; Intelligent slot; RS-232 and USB port; REPO connection; UL, cUL, RoHS approved; UL1973 battery pack compliance; UN38.3 for battery transportation; 6 year full Warranty (USA and Canada);  50K load protection policy; 17.2"" x 15.1"" x 3.5""; 25.6 lbs","$2,470.00 ",,
P91g-2KLi,"Xtreme Power P91 Series 2000VA/1800W; Online UPS with Lithium-ion batteries; 2U; 208/230VAC; C20 Inlet with  8' C19 to L6-20P  line cord ; (8) IEC C13  output receptacles  (4) of the output receptacles programmable as  group; 1-8A adjustable charger; Full Load Runtime = 14 min; Tower and rack mounting; 98% efficiency in ECO mode; Smart LCD screen; Intelligent slot,  RS-232 and USB port connections; REPO connection; CE, RoHS approved; UL1973 battery pack compliance; UN38.3 for battery transportation  6 year full Warranty (USA and Canada), 1 year full Warranty (worldwide);  50K load protection policy; 17.2"" x 19.0"" x 3.5""; 33.5 lbs","$3,680.00 ",,
P91g-3kLi,"Xtreme Power P91 Series 3000VA/2700W; Online UPS with Lithium-ion batteries; 2U; 208/230VAC; C20 Inlet with  8' C19 to L6-20P  line cord ; (1) IEC C19,(8) IEC C13  output receptacles, (4) of the C13 output receptacles programmable as  group;  1-8A adjustable  charger; Full Load Runtime = 11 min; Tower and rack mounting; 98% efficiency in ECO mode; Smart LCD screen; Intelligent slot, RS-232 and USB port connections, REPO connection; CE,  RoHS approved;  UL1973 battery pack compliance; UN38.3 for battery transportation ;  6 year full Warranty (USA and Canada), 1 year full Warranty (worldwide); 50K load protection policy; 17.2"" x 23.8"" x 3.5""; 45.2 lbs.","$4,520.00 ",,
XPC-C14-615R,"P91g Output Cord, 1ft, IEC C14 to 6-15R. 3 lbs. ",$45.00 ,,
XPC-ZLC20-620R,"Optional  12""   output cord,  Locking C20 to 6-15/20 receptacle for use with P91g-3kLi; 3 lbs.",$79.00 ,,
XPC-ZLC20-L620R,"Optional  12""   output cord,  Locking C20 to L6-20 receptacle for use with P91g-3kLi; 3 lbs.",$79.00 ,,
XPC-ZLC20-L630R,"Optional  12""   output cord,  Locking C20 to L6-30 receptacle for use with P91g-3kLi; 3 lbs.",$79.00 ,,
P90-RAIL,"4-Post Rail Kit for use with P91(g)-1000, 1500, 2000, 3000;   3.8""W x 19.8""D x 2.8""H. 5 lbs.",$135.00 ,,
XPC-2PRAIL,"2-Post Rail Kit for P80, P91(g) and NXRT 800VA thru 5kVA  UPS or EBM;  rated for 125 lbs;  4""W x 20""D x 3""H. 5 lbs.",$102.00 ,,
XPC-2POSTL,"2-Post Shelf Kit for P91(g)-1000, 1500, 2000, 3000;  rated for 150lbs;   21.5""W x 23.3""D x 3.5""H. 9 lbs.",$160.00 ,,
PV-WMB,"Wall mount bracket for use with P80, P91(g) and P91L series UPSs and battery packs up to 5KVA;   4""W x 24""D x 4""H. 5 lbs.",$80.00 ,,
P90-FRMB,Front Rackmount Bracket for P80  800VA through 2KVA size or P91 1KVA thru 2KVA size.  Required when front mounting the UPS to a 2 post or 4 post rack with no rail kit.,$36.00 ,,
SNMP-2PV3,"Internal SNMP/WEB Card for use with P80 or  P91(g) Series UPS; Allows for monitoring and management of UPS through a web browser or SNMP platform: Provides shutdown of remote clients via LAN, and Email Notification of UPS status and events. Compatible with SNMP-EMPV2 Environmental Monitor;  Packaging  = 5.7""W x 5.2""D x 1.7""H, 0.3 lbs",$359.00 ,,
SNMP-EMPV2,"Environmental Monitoring Sensor to monitor room temperature and humidity -  used with SNMP-2PV3 SNMP/WEB Card. Packaging = 5.7""W x 5.2""D x 1.7""H, 0.3 lbs",$230.00 ,,
MODBUS-IN,"MODBUS CARD for use with the P91(g) Series UPS; packaging = 7.25"" x 6"" x 2.5"", 1 lbs",$319.00 ,,
RELAY-MINI,"Dry Contact RELAY CARD with DB9 & terminal block adapter; packaging = 5.7""W x 5.2""D x 1.7""H, 0.3 lbs",$120.00 ,,
XBDM-1015LV,"Xtreme Power XBDM Series 15 Amp Maintenance Bypass Distribution Module with 12' Input line cord with 5-15P plug; (6) 5-15R output receptacles on front of BDM + (4) 5-15R output receptacles on rear of BDM; Includes maint bypass switch allowing for  bypassing and maintenance of the UPS without affecting the connected loads;3-Year Warranty (USA and Canada); 19""W x 3.5""D x 1.75""H, 3.5 lbs",$379.00 ,,
XBDM-1020LV,"Xtreme Power XBDM Series 20 Amp Maintenance Bypass Distribution Module with 12' Input line cord with 5-20P plug; (6) 5-20R output receptacles on front of BDM + (4) 5-20R output receptacles on rear of BDM; Includes maint bypass switch allowing for  bypassing and maintenance of the UPS without affecting the connected loads; 3-Year Warranty (USA and Canada); 19""W x 3.5""D x 1.75""H, 3.5 lbs",$419.00 ,,
XBDM-1030LV,"Xtreme Power XBDM Series 30 Amp Maintenance Bypass Distribution Module with 6' Input line cord with L5-30P plug; (5) 5-20R output receptacles on front of BDM (Load Group 1) + (5) 5-20R output receptacles on rear of BDM (Load Group 2);  (2) bypass switches allowing for  bypassing and maintenance of the UPS without affecting the connected loads; 3-Year Warranty (USA and Canada); 19""W x 3.5""D x 1.75""H, 3.5 lbs",$659.00 ,,
XPD1415HV,"Xtreme Power XPDU Series Basic Power PDU with 12' Input line cord with 5-15P plug; (6) 5-15R output receptacles on front of PDU + (8) 5-15R output receptacles on rear of PDU; UL60950-1/cUL/FCC Approved; 3-Year Warranty (USA and Canada); 19""W x 3.5""D x 1.75""H, 3.5 lbs",$138.00 ,,
XPD1420HV,"Xtreme Power XPDU Series Basic Power PDU with 12' Input line cord with L5-20P plug (L5-20 to 5-20 adapter included); (6) 5-20R output receptacles on front of PDU + (8) 5-20R output receptacles on rear of PDU; UL60950-1/cUL/FCC Approved; 3-Year Warranty (USA and Canada); 19""W x 3.5""D x 1.75""H, 4.8 lbs",$190.00 ,,
XBDM1020HV2,"Xtreme Power XBDM Series Maintenance Bypass Distribution Module with C20 input receptacle;  rated at 16A; (2) IEC C19 and (4) IEC C13 output receptacles on front + (4) IEC C13 output receptacles on back;  Includes maint bypass switch allowing for  bypassing and maintenance of the UPS without affecting the connected loads; Includes (2) IEC C20C19 cord kit; 3-Year Warranty (USA only); 19""W x 3.5""D x 1.75""H, 3.5 lbs",$419.00 ,,
XPDU-IEC,"Xtreme Power XPDU Series Basic Power 230V PDU with C20 inlet (power cord ordered separately), (10) IEC C13 + (2) IEC C19 output receptacles; 1U Rackmount configuration; CE Listed; 3-Year Warranty; 19""W x 3.5""D x 1.75""H, 2.6 lbs",$190.00 ,,
XAT-400,"400VA Step Down Transformer, 208V to 120V for P90G and P90LG-3000. Input is 208V IEC C14 on 2ft cord; output is 120V 5-15R on 2ft cord. 7""W x 6.8""D x 5.9""H. 8 lbs.",$600.00 ,,
XPD-IT15A,"Xtreme Power XPDU Series PDU with Isolation Transformer.  1500W, 208V in, 120V out.  IEC-C14 inlet protected by 10A breaker; (16) 5-15R output receptacles protected by 15A breaker;   3-Year Warranty; 17.5""W x 15""D x 3.5""H (2U), 43 lbs.",$980.00 ,,
P91ADVEX,"Advanced Exchange Warranty Upgrade  for advanced warranty exchange and shipping for   P91(g)-1.5kLi, P91(g)-2kLi, and  P91(g)-3kLi UPS  (USA and Canada) ",$250.00 ,,
,,,,
P90L-1500,"Xtreme Power P90L Series 1250VA/1125W; Online UPS; 2U; 120VAC; 6A charger w/ no internal batteries; 6' input line cord with 5-15 plug; (8) 5-15R output receptacles; Tower and rack mounting; 98% efficiency in ECO mode; Smart LCD screen; RS-232 and USB port connections; UL, cUL, RoHS approved; TAA  Compliant;  3 year full Warranty (USA only); 50K load protection policy; 17.2"" x 18.9"" x 3.5""; 33 lbs","$1,450.00 ",,
P90L-2000,"Xtreme Power P90L Series 1700VA/1530W; Online UPS; 2U; 120VAC; 6A charger w/ no internal batteries; 6' input line cord with 5-20 plug; (8) 5-15/20R output receptacles; Tower and rack mounting; 98% efficiency in ECO mode; Smart LCD screen; RS-232 and USB port connections; UL, cUL, RoHS approved; TAA  Compliant;  3 year full Warranty (USA only); 50K load protection policy; 17.2"" x 18.9"" x 3.5"";  35 lbs","$1,675.00 ",,
P90L-3000,"Xtreme Power P90L Series 2500VA/2250W; Online UPS; 2U; 120VAC; 6A charger w/ no internal batteries; 6' input line cord with L5-30 plug; (1) L5-30R + (4) 5-15/20R output receptacles; Tower and rack mounting; 98% efficiency in ECO mode; Smart LCD screen; RS-232 and USB port connections; UL, cUL, RoHS approved; TAA  Compliant;  3 year full Warranty (USA only);  50K load protection policy; 17.2"" x 25.8"" x 3.5""; 47 lbs","$2,525.00 ",,
P90Lg-3000,"Xtreme Power P90L Series 3000VA/2400W; Online UPS; 2U; 208-240VAC; 6A charger w/ no internal batteries;  IEC C20 to L6-20P detachable input line cord (8 ft); (1)IEC-C19 + (6) IEC-C13 output receptacles; Tower and rack mounting; 98% efficiency in ECO mode; Smart LCD screen; RS-232 and USB port connections; CE and RoHS approved; TAA  Compliant;  3 year full Warranty (USA only);  50K load protection policy; 17.2"" x 25.8"" x 3.5""; 47 lbs","$2,490.00 ",,
P90-BP36,"Extended Runtime Battery Pack for use with P90/P90L-1500 (includes 6 each 12V9AH batteries); __ Battery Packs provide(s) __ minutes runtime @ __KVA load.  Tower or Rack Mounting; TUV/UL, RoHS, cUL Approved; TAA  Compliant;  3-Year Full Warranty (USA only); 17.2""W x 18.9""D x 3.5""H; 58.1 lbs",$920.00 ,,
P90-BP36E,"Extended Runtime Battery Pack for use with P90/P90L-1500 (includes 12 each 12V9AH batteries); __ Battery Packs provide(s) __ minutes runtime @ __KVA load.  Tower or Rack Mounting; TUV/UL, RoHS, cUL Approved; TAA  Compliant;  3-Year Full Warranty (USA only); 17.2""W x 23.6""D x 3.5""H; 104.4 lbs","$1,320.00 ",,
P90-BP48,"Extended Runtime Battery Pack for use with P80-1500, P80-2000, P90 and P90L-2000 UPSs;  (includes 8 each 12V9AH batteries); __ Battery Packs provide(s) __ minutes runtime @ __KVA load.  Tower or Rack Mounting; TUV/UL,  RoHS, cUL Approved; TAA  Compliant;  3-Year Full Warranty (USA only); 17.2""W x 18.9""D x 3.5""H; 74.6 lbs","$1,080.00 ",,
P90-BP72,"Extended Runtime Battery Pack for use with P90/ P90L-3000 and P90g/P90Lg-3000 UPSs;  (includes 12 each 12V9AH batteries) ;__ Battery Packs provide(s) __ minutes runtime @ __KVA load.   Tower or Rack Mounting; TUV/UL, RoHS, cUL Approved; TAA  Compliant;  3-Year Full Warranty (USA only); 17.2""W x 23.6""D x 3.5""H; 104.4 lbs","$1,290.00 ",,
XPC-C14-615R,"P91g Output Cord, 1ft, IEC C14 to 6-15R. 3 lbs. ",$45.00 ,,
XPC-ZLC20-620R,"Optional  12""   output cord,  Locking C20 to 6-15/20 receptacle for use with TX91; 3 lbs.",$59.00 ,,
XPC-ZLC20-L620R,"Optional  12""   output cord,  Locking C20 to L6-20 receptacle for use with TX91; 3 lbs.",$59.00 ,,
XPC-ZLC20-L630R,"Optional  12""   output cord,  Locking C20 to L6-30 receptacle for use with TX91; 3 lbs.",$59.00 ,,
P90-RAIL,"Adjustable Mounting 4-Post Rail Kit for P90L-1500/2000/3000 and P90-BP36/48/72;  packaging = 3.8""W x 19.8""D x 2.8""H, 5 lbs",$135.00 ,,
XPC-2PRAIL,"2-Post Rail Kit for P80, P90, P90L and NXRT 800VA thru 5kVA  UPS or EBM;  rated for 125 lbs;  4""W x 20""D x 3""H. 5 lbs.",$102.00 ,,
XPC-2POSTL,"2-Post Shelf Kit for P90L-1500/2000/3000 and P90-BP36/48/72;   21/5""W x 23.3""D x 3.5""H. 9 lbs",$160.00 ,,
SNMP-2PV3,"Internal SNMP/WEB Card for use with P80 or  P90 Series UPS; Allows for monitoring and management of UPS through a web browser or SNMP platform: Provides shutdown of remote clients via LAN, and Email Notification of UPS status and events. Compatible with SNMP-EMPv2 Environmental Monitor;  Packaging  = 5.7""W x 5.2""D x 1.7""H, 0.3 lbs",$359.00 ,,
SNMP-EMPV2,"Environmental Monitoring Sensor to monitor room temperature and humidity -  used with SNMP-2PV3 SNMP/WEB Card. Packaging = 5.7""W x 5.2""D x 1.7""H, 0.3 lbs",$230.00 ,,
RELAY-MINI,"Dry Contact RELAY CARD with DB9 & terminal block adapter; packaging = 5.7""W x 5.2""D x 1.7""H, 0.3 lbs",$120.00 ,,
MODBUS-IN,"MODBUS CARD for use with the P90L Series UPS; packaging = 7.25"" x 6"" x 2.5"", 1 lbs",$319.00 ,,
XBDM-1015LV,"Xtreme Power XBDM Series 15 Amp Maintenance Bypass Distribution Module with 12' Input line cord with 5-15P plug; (6) 5-15R output receptacles on front of BDM + (4) 5-15R output receptacles on rear of BDM; Includes maint bypass switch allowing for  bypassing and maintenance of the UPS without affecting the connected loads;3-Year Warranty (USA only); 19""W x 3.5""D x 1.75""H, 3.5 lbs",$379.00 ,,
XBDM-1020LV,"Xtreme Power XBDM Series 20 Amp Maintenance Bypass Distribution Module with 12' Input line cord with 5-20P plug; (6) 5-20R output receptacles on front of BDM + (4) 5-20R output receptacles on rear of BDM; Includes maint bypass switch allowing for  bypassing and maintenance of the UPS without affecting the connected loads; 3-Year Warranty (USA only); 19""W x 3.5""D x 1.75""H, 3.5 lbs",$419.00 ,,
XBDM-1030LV,"Xtreme Power XBDM Series 30 Amp Maintenance Bypass Distribution Module with 6' Input line cord with L5-30P plug; (5) 5-20R output receptacles on front of BDM (Load Group 1) + (5) 5-20R output receptacles on rear of BDM (Load Group 2);  (2) bypass switches allowing for  bypassing and maintenance of the UPS without affecting the connected loads; 3-Year Warranty (USA only); 19""W x 3.5""D x 1.75""H, 3.5 lbs",$659.00 ,,
XBDM1020HV2,"Xtreme Power XBDM Series Maintenance Bypass Distribution Module with C20 inlet for customer supplied power cord;  rated at 16A; (2) IEC C19 and (4) IEC C13 output receptacles on front + (4) IEC C13 output receptacles on back;  Includes maint bypass switch allowing for  bypassing and maintenance of the UPS without affecting the connected loads; Includes (2) IEC C20 to C19 cord kits for connecting the XBDM to the P90G-3000 or P90LG-3000 UPS; 3-Year Warranty (USA only); 19""W x 3.5""D x 1.75""H, 3.5 lbs",$419.00 ,,
XPD1415HV,"Xtreme Power XPDU Series Basic Power PDU with 12' Input line cord with 5-15P plug; (6) 5-15R output receptacles on front of PDU + (8) 5-15R output receptacles on rear of PDU; UL60950-1/cUL/FCC Approved; 3-Year Warranty; 19""W x 3.5""D x 1.75""H, 3.5 lbs",$138.00 ,,
XPD1420HV,"Xtreme Power XPDU Series Basic Power PDU with 12' Input line cord with L5-20P plug (L5-20 to 5-20 adapter included); (6) 5-20R output receptacles on front of PDU + (8) 5-20R output receptacles on rear of PDU; UL60950-1/cUL/FCC Approved; 3-Year Warranty; 19""W x 3.5""D x 1.75""H, 4.8 lbs",$190.00 ,,
XPDU-IEC,"Xtreme Power XPDU Series Basic Power 230V PDU with C20 inlet (power cord ordered separately), (10) IEC C13 + (2) IEC C19 output receptacles; 1U Rackmount configuration; CE Listed; 3-Year Warranty; 19""W x 3.5""D x 1.75""H, 2.6 lbs",$190.00 ,,
XPD-IT15A,"Xtreme Power XPDU Series PDU with Isolation Transformer.  1500VA, 208V in, 120V out.  IEC-C14 inlet protected by 10A breaker; 3' C14 to C13 input cord; (16) 5-15R output receptacles protected by 15A breaker;   3-Year Warranty; 17.5""W x 15""D x 3.5""H (2U), 43 lbs.",$980.00 ,,
XAT-400,"400VA Step Down Transformer, 208V to 120V for P90g and P90Lg-3000. Input is 208V IEC C14 on 2ft cord; output is 120V 5-15R on 2ft cord. 7""W x 6.8""D x 5.9""H. 8 lbs.",$600.00 ,,
P90L5SP15,"Xtended 5YR Factory Warranty for P90L 1500VA  (USA only)  - 5 Year Coverage includes coverage of electronics, telephone technical support, advanced exchange and ground shipping both ways..",$370.00 ,,
P90L5SP23,"Xtended 5YR Factory Warranty for P90L 2000/3000VA and P90Lg-3000  (USA only)  - 5 Year Coverage includes coverage of electronics, telephone technical support, advanced exchange and ground shipping both ways..",$610.00 ,,
P90L5SPBP,"Xtended 5YR Factory Warranty for P90L-BP36/BP42/BP72  (USA only)  - 5 Year Coverage includes coverage of battery pack, telephone technical support, advanced exchange and ground shipping both ways..",$320.00 ,,
,,,,
MODEL,DESCRIPTION,LIST PRICE,,
P90HT-1500,"Xtreme Power P90HT Series  1250VA/1125W; 120VAC Online UPS for harsh temperature environments; Operating temperatures up to 122 deg F (derates above 104F); 12 year battery service life at 25 deg C; includes one P90-BP36HT external battery providing 8 minutes runtime at full load; 6A charger; 6' input line cord with 5-15 plug; (8) 5-15R output receptacles; Tower and rack mounting; 98% efficiency in ECO mode; Smart LCD screen; RS-232 and USB port connections; UL, cUL, CE,  RoHS approved; TAA  Compliant;  3 year electronics and battery warranty  (USA and Canada); 17.2"" x 18.9"" x 7.0""; 88.2 lbs.  Additional P90-BP36HT battery packs can be added to increase runtime.","$2,598.00 ",,
P90HT-2000,"Xtreme Power P90HT Series  1700VA/1530W; 120VAC Online UPS for harsh temperature environments; Operating temperatures up to 122 deg F (derates above 104F); 12 year battery service life at 25 deg C;  includes one P90-BP48HT external battery providing 8 minutes runtime at full load;; 6A charger; 6' input line cord with 5-20 plug; (8) 5-15/20R output receptacles; Tower and rack mounting; 98% efficiency in ECO mode; Smart LCD screen; RS-232 and USB port connections; UL, cUL, CE,  RoHS approved; TAA  Compliant;  3 year electronics and battery warranty (USA and Canada); 17.2"" x 18.9"" x 7.0"";  105.9 lbs  Additional P90-BP48HT battery packs can be added to increase runtime.","$3,098.00 ",,
P90HT-3000,"Xtreme Power P90HT Series 2500VA/2250W;  120VAC Online UPS for harsh temperature environments; Operating temperatures up to 122 deg F (derates above 104F); 12 year battery service life at 25 deg C;  includes one P90-BP72HT external battery providing 9 minutes runtime at full load; 6A charger;  L5-30P line cord (6 ft); (1) L5-30R + (4) 5-15/20R output receptacles; Tower/Rack mounting; Up to 98% ECO mode and 90% online efficiency; Smart LCD screen; RS-232 and USB port connections; UL, cUL, CE,  and RoHS Approved, TAA  Compliant;  3 year electronics and battery warranty (USA and Canada);  17.2"" x 23.6"" x 7.0""; 146.2 lbs. Additional P90-BP72HT battery packs can be added to increase runtime.","$4,478.00 ",,
